Train Indices,Test Indices
1,5.0
2,7.0
3,11.0
4,13.0
6,15.0
8,21.0
9,22.0
10,23.0
12,30.0
14,31.0
16,32.0
17,36.0
18,38.0
19,39.0
20,43.0
24,44.0
25,45.0
26,47.0
27,52.0
28,54.0
29,56.0
33,59.0
34,60.0
35,62.0
37,68.0
40,70.0
41,72.0
42,74.0
46,75.0
48,76.0
49,78.0
50,80.0
51,84.0
53,90.0
55,91.0
57,97.0
58,98.0
61,115.0
63,117.0
64,118.0
65,119.0
66,123.0
67,124.0
69,126.0
71,127.0
73,128.0
77,131.0
79,133.0
81,134.0
82,135.0
83,143.0
85,144.0
86,145.0
87,149.0
88,153.0
89,155.0
92,163.0
93,172.0
94,178.0
95,181.0
96,182.0
99,183.0
100,189.0
101,190.0
102,193.0
103,196.0
104,198.0
105,199.0
106,201.0
107,203.0
108,204.0
109,206.0
110,208.0
111,210.0
112,211.0
113,213.0
114,217.0
116,218.0
120,221.0
121,225.0
122,227.0
125,228.0
129,231.0
130,232.0
132,238.0
136,241.0
137,242.0
138,243.0
139,248.0
140,251.0
141,252.0
142,254.0
146,256.0
147,257.0
148,261.0
150,265.0
151,266.0
152,273.0
154,274.0
156,276.0
157,277.0
158,282.0
159,289.0
160,292.0
161,299.0
162,302.0
164,303.0
165,307.0
166,310.0
167,311.0
168,322.0
169,324.0
170,328.0
171,329.0
173,330.0
174,331.0
175,337.0
176,347.0
177,352.0
179,353.0
180,354.0
184,355.0
185,360.0
186,361.0
187,364.0
188,366.0
191,367.0
192,369.0
194,386.0
195,389.0
197,390.0
200,392.0
202,395.0
205,399.0
207,400.0
209,401.0
212,408.0
214,409.0
215,410.0
216,417.0
219,425.0
220,430.0
222,431.0
223,434.0
224,436.0
226,437.0
229,438.0
230,440.0
233,441.0
234,442.0
235,444.0
236,451.0
237,454.0
239,455.0
240,456.0
244,457.0
245,460.0
246,463.0
247,467.0
249,470.0
250,471.0
253,473.0
255,479.0
258,482.0
259,483.0
260,498.0
262,499.0
263,501.0
264,503.0
267,507.0
268,512.0
269,514.0
270,515.0
271,516.0
272,518.0
275,521.0
278,525.0
279,531.0
280,532.0
281,535.0
283,536.0
284,539.0
285,541.0
286,547.0
287,548.0
288,550.0
290,551.0
291,552.0
293,560.0
294,563.0
295,564.0
296,573.0
297,575.0
298,577.0
300,579.0
301,585.0
304,586.0
305,590.0
306,591.0
308,598.0
309,613.0
312,617.0
313,620.0
314,624.0
315,625.0
316,626.0
317,628.0
318,630.0
319,632.0
320,634.0
321,636.0
323,640.0
325,644.0
326,647.0
327,652.0
332,661.0
333,663.0
334,669.0
335,672.0
336,677.0
338,679.0
339,680.0
340,681.0
341,684.0
342,685.0
343,686.0
344,687.0
345,693.0
346,695.0
348,696.0
349,697.0
350,698.0
351,701.0
356,707.0
357,709.0
358,710.0
359,715.0
362,720.0
363,721.0
365,724.0
368,726.0
370,729.0
371,734.0
372,737.0
373,741.0
374,748.0
375,749.0
376,753.0
377,757.0
378,758.0
379,764.0
380,770.0
381,775.0
382,778.0
383,780.0
384,783.0
385,784.0
387,786.0
388,788.0
391,792.0
393,794.0
394,796.0
396,797.0
397,800.0
398,801.0
402,803.0
403,804.0
404,806.0
405,807.0
406,811.0
407,814.0
411,816.0
412,818.0
413,821.0
414,823.0
415,824.0
416,827.0
418,830.0
419,834.0
420,835.0
421,836.0
422,837.0
423,842.0
424,843.0
426,845.0
427,850.0
428,851.0
429,855.0
432,857.0
433,858.0
435,865.0
439,866.0
443,869.0
445,873.0
446,874.0
447,876.0
448,878.0
449,880.0
450,882.0
452,884.0
453,885.0
458,889.0
459,892.0
461,893.0
462,896.0
464,897.0
465,899.0
466,902.0
468,909.0
469,912.0
472,914.0
474,915.0
475,920.0
476,924.0
477,927.0
478,928.0
480,929.0
481,930.0
484,931.0
485,937.0
486,938.0
487,940.0
488,942.0
489,945.0
490,947.0
491,949.0
492,951.0
493,952.0
494,955.0
495,957.0
496,958.0
497,965.0
500,968.0
502,970.0
504,971.0
505,977.0
506,984.0
508,985.0
509,987.0
510,992.0
511,998.0
513,1002.0
517,1004.0
519,1005.0
520,1006.0
522,1007.0
523,1009.0
524,1011.0
526,1012.0
527,1013.0
528,1019.0
529,1021.0
530,1033.0
533,1036.0
534,1039.0
537,1043.0
538,1045.0
540,1047.0
542,1051.0
543,1057.0
544,1060.0
545,1061.0
546,1064.0
549,1065.0
553,1068.0
554,1074.0
555,1075.0
556,1076.0
557,1080.0
558,1081.0
559,1082.0
561,1085.0
562,1086.0
565,1088.0
566,1089.0
567,1090.0
568,1092.0
569,1096.0
570,1098.0
571,1099.0
572,1101.0
574,1102.0
576,1106.0
578,1118.0
580,1122.0
581,1124.0
582,1127.0
583,1129.0
584,1130.0
587,1131.0
588,1132.0
589,1134.0
592,1146.0
593,1147.0
594,1149.0
595,1151.0
596,1153.0
597,1154.0
599,1157.0
600,1160.0
601,1169.0
602,1170.0
603,1172.0
604,1174.0
605,1179.0
606,1180.0
607,1181.0
608,1182.0
609,1185.0
610,1189.0
611,1195.0
612,1197.0
614,1198.0
615,1201.0
616,1202.0
618,1212.0
619,1214.0
621,1217.0
622,1218.0
623,1220.0
627,1221.0
629,1222.0
631,1225.0
633,1229.0
635,1230.0
637,1231.0
638,1233.0
639,1236.0
641,1239.0
642,1240.0
643,1242.0
645,1249.0
646,1250.0
648,1258.0
649,1262.0
650,1265.0
651,1267.0
653,1268.0
654,1270.0
655,1271.0
656,1272.0
657,1273.0
658,1276.0
659,1279.0
660,1280.0
662,1282.0
664,1288.0
665,1295.0
666,1298.0
667,1300.0
668,1302.0
670,1308.0
671,1310.0
673,1318.0
674,1319.0
675,1323.0
676,1324.0
678,1329.0
682,1332.0
683,1333.0
688,1336.0
689,1338.0
690,1341.0
691,1345.0
692,1346.0
694,1347.0
699,1350.0
700,1351.0
702,1356.0
703,1359.0
704,1364.0
705,1367.0
706,1369.0
708,1370.0
711,1378.0
712,1379.0
713,1385.0
714,1386.0
716,1387.0
717,1393.0
718,1395.0
719,1399.0
722,1403.0
723,1404.0
725,1407.0
727,1413.0
728,1417.0
730,1419.0
731,1420.0
732,1422.0
733,1423.0
735,1427.0
736,1429.0
738,1432.0
739,1434.0
740,1435.0
742,1437.0
743,1439.0
744,1440.0
745,1441.0
746,1448.0
747,1449.0
750,1451.0
751,1454.0
752,1455.0
